CID,Type,Impact,First Detected,Owner,Classification,Severity,Action,Component,Category
448718,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448717,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448716,Expression with no effect,Medium,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression
448715,Expression with no effect,Medium,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression
448714,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448713,Expression with no effect,Medium,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression
448711,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448710,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448709,Unsafe output of data into innerHtml,High,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448708,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448707,CORS configuration allows non-credentialed requests from all origins,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448706,Weak hash algorithm,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448705,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448704,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448703,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448702,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448701,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448700,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448699,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448698,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448697,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448696,Least privilege violation,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448695,Property access or function call before check for null or undefined,Medium,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences
448694,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448693,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448692,Unsafe output of data into innerHtml,High,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448691,Expression with no effect,Medium,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression
448690,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448689,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448688,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448687,Expression with no effect,Medium,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression
448686,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
448685,Hard-coded secret,Low,11/11/24,Unassigned,Unclassified,Unspecified,Undecided,Other,Sigma
